
===== clang++-22  group 10  (launches: {'base': 5, 'T': 5, 'F': 5, 'H': 5}) =====
vt                     algo                             base         T     T d%         F     F d%         H     H d%
5MyInt                 transform(2S)                   0.183     0.183    +0.0%     0.183    +0.0%     0.183    +0.0%
8MyFatIntILm4EE        copy(1+2S)                      0.297     0.300    +1.0%     0.300    +1.0%     0.299    +0.7%
8MyFatIntILm4EE        copy(1S)                        0.296     0.294    -0.7%     0.293    -1.0%     0.298    +0.7%
8MyFatIntILm4EE        copy(2S)                        0.298     0.299    +0.3%     0.299    +0.3%     0.297    -0.3%
8MyFatIntILm4EE        copy_n(1+2S)                    0.296     0.294    -0.7%     0.293    -1.0%     0.298    +0.7%
8MyFatIntILm4EE        copy_n(1S)                      0.287     0.296    +3.1%     0.290    +1.0%     0.297    +3.5%
8MyFatIntILm4EE        copy_n(2S)                      0.291     0.291    +0.0%     0.292    +0.3%     0.291    +0.0%
8MyFatIntILm4EE        swap_ranges(1+2S)               0.373     0.376    +0.8%     0.375    +0.5%     0.378    +1.3%
8MyFatIntILm4EE        swap_ranges(1S)                 0.349     0.350    +0.3%     0.353    +1.1%     0.351    +0.6%
8MyFatIntILm4EE        swap_ranges(2S)                 0.419     0.419    +0.0%     0.366   -12.6%     0.424    +1.2%
8MyFatIntILm4EE        transform(1+2S)                 0.297     0.302    +1.7%     0.302    +1.7%     0.305    +2.7%
8MyFatIntILm4EE        transform(1S)                   0.287     0.292    +1.7%     0.293    +2.1%     0.294    +2.4%
8MyFatIntILm4EE        transform(2S)                   0.302     0.305    +1.0%     0.305    +1.0%     0.305    +1.0%
8MyFatIntILm8EE        copy(1+2S)                      0.614     0.627    +2.1%     0.617    +0.5%     0.628    +2.3%
8MyFatIntILm8EE        copy(1S)                        0.609     0.613    +0.7%     0.614    +0.8%     0.615    +1.0%
8MyFatIntILm8EE        copy(2S)                        0.591     0.614    +3.9%     0.614    +3.9%     0.616    +4.2%
8MyFatIntILm8EE        copy_n(1+2S)                    0.619     0.619    +0.0%     0.617    -0.3%     0.608    -1.8%
8MyFatIntILm8EE        copy_n(1S)                      0.622     0.622    +0.0%     0.638    +2.6%     0.629    +1.1%
8MyFatIntILm8EE        copy_n(2S)                      0.595     0.581    -2.4%     0.617    +3.7%     0.608    +2.2%
8MyFatIntILm8EE        swap_ranges(1+2S)               1.050     1.052    +0.2%     1.052    +0.2%     1.052    +0.2%
8MyFatIntILm8EE        swap_ranges(1S)                 1.041     1.041    +0.0%     1.040    -0.1%     1.040    -0.1%
8MyFatIntILm8EE        swap_ranges(2S)                 1.043     1.042    -0.1%     1.041    -0.2%     1.044    +0.1%
8MyFatIntILm8EE        transform(1+2S)                 0.610     0.622    +2.0%     0.610    +0.0%     0.619    +1.5%
8MyFatIntILm8EE        transform(1S)                   0.637     0.642    +0.8%     0.644    +1.1%     0.639    +0.3%
8MyFatIntILm8EE        transform(2S)                   0.607     0.621    +2.3%     0.606    -0.2%     0.619    +2.0%
